id,name,category,glyph,token_source,certified,filename,raw_url
keyser-inn,Keyser Inn,Lodging,lodging,stored,false,dir-keyser-inn.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-keyser-inn.png
slanesville-general-store,Slanesville General Store,Restaurant,food,stored,false,dir-slanesville-general-store.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-slanesville-general-store.png
mason-dixon-historical-park,Mason-Dixon Historical Park,Attraction,park,stored,false,dir-mason-dixon-historical-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-mason-dixon-historical-park.png
hamilton-round-barn,Hamilton Round Barn,Attraction,attraction,stored,false,dir-hamilton-round-barn.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-hamilton-round-barn.png
tygart-lake-state-park,Tygart Lake State Park,Attraction,park,stored,false,dir-tygart-lake-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-tygart-lake-state-park.png
international-mother-s-day-shrine,International Mother's Day Shrine,Attraction,attraction,stored,false,dir-international-mother-s-day-shrine.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-international-mother-s-day-shrine.png
cool-springs-park,Cool Springs Park,Restaurant,food,stored,false,dir-cool-springs-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-cool-springs-park.png
sleepy-creek-wildlife-management-area,Sleepy Creek Wildlife Management Area,Attraction,park,stored,false,dir-sleepy-creek-wildlife-management-area.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-sleepy-creek-wildlife-management-area.png
hillbilly-heaven-bar-grill,Hillbilly Heaven Bar & Grill,Restaurant,food,stored,false,dir-hillbilly-heaven-bar-grill.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-hillbilly-heaven-bar-grill.png
chief-logan-state-park,Chief Logan State Park,Attraction,park,stored,false,dir-chief-logan-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-chief-logan-state-park.png
taco-todd-s-savage-tacos,Taco Todd's Savage Tacos,Restaurant,food,stored,false,dir-taco-todd-s-savage-tacos.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-taco-todd-s-savage-tacos.png
bunky-s-burgers,Bunky's Burgers,Restaurant,food,stored,false,dir-bunky-s-burgers.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-bunky-s-burgers.png
sterling-drive-in,Sterling Drive-In,Restaurant,food,stored,false,dir-sterling-drive-in.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-sterling-drive-in.png
coaltown-tavern,Coaltown Tavern,Restaurant,food,stored,false,dir-coaltown-tavern.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-coaltown-tavern.png
page-coal-and-coke-company-store,Page Coal and Coke Company Store,Attraction,attraction,stored,false,dir-page-coal-and-coke-company-store.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-page-coal-and-coke-company-store.png
kimball-war-memorial,Kimball War Memorial,Attraction,monument,stored,false,dir-kimball-war-memorial.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-kimball-war-memorial.png
summersville-lake-retreat-lighthouse,Summersville Lake Retreat & Lighthouse,Campground,camping,stored,false,dir-summersville-lake-retreat-lighthouse.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-summersville-lake-retreat-lighthouse.png
greenbrier-grille-and-lodge,Greenbrier Grille and Lodge,Restaurant,food,stored,false,dir-greenbrier-grille-and-lodge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-greenbrier-grille-and-lodge.png
barrackville-covered-bridge,Barrackville Covered Bridge,Attraction,bridge,stored,false,dir-barrackville-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-barrackville-covered-bridge.png
carrollton-covered-bridge,Carrollton Covered Bridge,Attraction,bridge,stored,false,dir-carrollton-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-carrollton-covered-bridge.png
center-point-covered-bridge,Center Point Covered Bridge,Attraction,bridge,stored,false,dir-center-point-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-center-point-covered-bridge.png
dents-run-covered-bridge,Dents Run Covered Bridge,Attraction,bridge,stored,false,dir-dents-run-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-dents-run-covered-bridge.png
fish-creek-covered-bridge,Fish Creek Covered Bridge,Attraction,bridge,stored,false,dir-fish-creek-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-fish-creek-covered-bridge.png
fletcher-covered-bridge,Fletcher Covered Bridge,Attraction,bridge,stored,false,dir-fletcher-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-fletcher-covered-bridge.png
herns-mill-covered-bridge,Herns Mill Covered Bridge,Attraction,bridge,stored,false,dir-herns-mill-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-herns-mill-covered-bridge.png
hokes-mill-covered-bridge,Hokes Mill Covered Bridge,Attraction,bridge,stored,false,dir-hokes-mill-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-hokes-mill-covered-bridge.png
indian-creek-covered-bridge,Indian Creek Covered Bridge,Attraction,bridge,stored,false,dir-indian-creek-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-indian-creek-covered-bridge.png
laurel-creek-covered-bridge,Laurel Creek Covered Bridge,Attraction,bridge,stored,false,dir-laurel-creek-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-laurel-creek-covered-bridge.png
locust-creek-covered-bridge,Locust Creek Covered Bridge,Attraction,bridge,stored,false,dir-locust-creek-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-locust-creek-covered-bridge.png
mud-river-covered-bridge,Mud River Covered Bridge,Attraction,bridge,stored,false,dir-mud-river-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-mud-river-covered-bridge.png
philippi-covered-bridge,Philippi Covered Bridge,Attraction,bridge,stored,false,dir-philippi-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-philippi-covered-bridge.png
sarvis-fork-covered-bridge,Sarvis Fork Covered Bridge,Attraction,bridge,stored,false,dir-sarvis-fork-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-sarvis-fork-covered-bridge.png
simpson-creek-covered-bridge,Simpson Creek Covered Bridge,Attraction,bridge,stored,false,dir-simpson-creek-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-simpson-creek-covered-bridge.png
staats-mill-covered-bridge,Staats Mill Covered Bridge,Attraction,bridge,stored,false,dir-staats-mill-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-staats-mill-covered-bridge.png
walkersville-covered-bridge,Walkersville Covered Bridge,Attraction,bridge,stored,false,dir-walkersville-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-walkersville-covered-bridge.png
