Business Name,Business Category,Attraction Type,Type Token,Certified,Latitude,Longitude
Almost Heaven Swing - Babcock State Park,Attraction,Swing,swing,false,37.9944401,-80.9768304
Almost Heaven Swing - Blackwater Falls State Park,Attraction,Swing,swing,false,39.1134191,-79.4857237
Almost Heaven Swing - Blennerhassett Island Historical State Park,Attraction,Swing,swing,false,39.264891,-81.5649343
Almost Heaven Swing - Bluestone State Park,Attraction,Swing,swing,false,37.6166704,-80.9331845
Almost Heaven Swing - Cacapon Resort State Park,Attraction,Swing,swing,false,39.5085891,-78.3102554
Almost Heaven Swing - Canaan Valley Resort State Park,Attraction,Swing,swing,false,39.0286196,-79.4608152
Almost Heaven Swing - Chief Logan State Park,Attraction,Swing,swing,false,37.8938238,-82.0197368
Almost Heaven Swing - Droop Mountain Battlefield State Park,Attraction,Swing,swing,false,38.1122742,-80.2717304
Almost Heaven Swing - Lost River State Park,Attraction,Swing,swing,false,38.8958211,-78.9237039
Almost Heaven Swing - North Bend State Park,Attraction,Swing,swing,false,39.2206591,-81.0868344
Almost Heaven Swing - Pipestem Resort State Park,Attraction,Swing,swing,false,37.5340121,-80.9956932
Almost Heaven Swing - Stonewall Resort State Park,Attraction,Swing,swing,false,38.9486714,-80.4993407
Almost Heaven Swing - Summersville Lake State Park,Attraction,Swing,swing,false,38.24576,-80.85603
Almost Heaven Swing - Tomlinson Run State Park,Attraction,Swing,swing,false,40.547029,-80.5941483
Almost Heaven Swing - Tu-Endie-Wei State Park,Attraction,Swing,swing,false,38.839303,-82.1406891
Almost Heaven Swing - Tygart Lake State Park,Attraction,Swing,swing,false,39.2801834,-80.0108002
Almost Heaven Swing - Valley Falls State Park,Attraction,Swing,swing,false,39.3886464,-80.0864936
Babcock State Park,Attraction,Park/Nature,park,false,38.007329,-80.948414
Barrackville Covered Bridge,Attraction,Covered Bridge,bridge,false,39.50583,-80.16806
Bear Mountain Cabins & Campground,Campground,,camping,false,38.050171,-81.12003399999999
Black Sheep Harley-Davidson,Motorcycle Dealer,,moto,false,38.4188813,-82.4514955
Brickside Bar & Grille,Bar,,food,false,39.2820332,-80.2779955
