Business Name,Latitude,Longitude,Type Token,Business Category,Attraction Type
The Corner Shop,37.3251331,-81.31172629999999,food,Restaurant,
American Legion Post 15,39.2834993,-81.5493273,other,Club / Post,
Jack Horner's Corner,38.1287273,-80.17659739999999,food,Restaurant,
Whistle Punk Grill & Taphouse,38.2257691,-80.5318611,food,Bar,
Casey's Family Restaurant - Shinnston,39.39542460000001,-80.3016772,food,Restaurant,
North End Tavern & Brewery,39.2874294,-81.53305540000001,food,Bar,
Farmer's Daughter Market & Butcher,39.2973107,-78.4317056,food,Restaurant,
The Custard Stand,38.4818338,-80.42532779999999,food,Restaurant,
South Texas Barbecue Company,39.0377576,-80.46626789999999,food,Restaurant,
Pizzas and Cream,38.634946,-81.0399577,food,Restaurant,
Hellbender Burritos,39.1285649,-79.465791,food,Restaurant,
Main Street Grill - Romney,39.3291121,-78.7022996,food,Restaurant,
Little Sicily,37.7821878,-81.1901013,food,Restaurant,
Sirianni's Pizza Cafe,39.12874050000001,-79.4662795,food,Restaurant,
Buddy's All American Bar-B-Que,38.4238613990011,-82.43272255767182,food,Restaurant,
C.J. Maggie's American Grill - Elkins,38.9255726,-79.8497556,food,Restaurant,
Screech Owl Brewing,39.5888994,-79.56599109999999,food,Bar,
Drovers Inn,40.2800423,-80.55473909999999,food,Restaurant,
Black Bear Burritos,39.6540244,-79.9714631,food,Restaurant,
